Territory,Year,arson,attacks,attempted homicides,bag-snatching,bank robbery,blows,burglary,car theft,child pornography and possession of paedo-pornographic materials,corruption of a minor,counteractions of goods and industrial products,criminal association,culpable injuries,cybercrime,damage followed by arson,damages,exploitation and abetting prostitution,extortions,forest arson,homicides for theft or robbery,homicides from road accident,homicides of mafia,house robbery,infanticides,intellectual property violations,intentional homicides,kidnappings,mafia criminal association,manslaughter,mass murder,menaces,money laundering,moped theft,motorcycle theft,offences,other crimes,pickpocketing,post office robbery,receiving stolen goods,robberies,sexual activity with a minor,sexual violence,shop robbery,shoplifting,smuggling,street robbery,swindles and cyber frauds,terrorist homicides,theft from vehicle,theft of art objets,theft of cargo trucks carrying freights,thefts,total_crime,trafficking and drugs possession,unintentional homicides,usury,all_levels_education,"no educational degree, primary and lower secondary school certificate","tertiary (university, doctoral and specialization courses)",upper and post secondary
Abruzzo,2018,7.1,0.5,1.8,6.8,0.2,17.6,233.4,100.7,1.3,0.2,7.1,1.0,100.2,25.7,7.8,357.3,0.8,16.4,1.4,0.1,1.5,0.0,2.3,0.0,0.4,0.5,1.2,0.0,0.0,0.0,114.4,1.3,14.5,13.5,0.0,676.8,72.3,0.4,22.9,21.8,0.7,6.2,4.6,110.6,0.0,8.5,286.8,0.0,144.6,0.5,1.8,1308.0,3738.3,59.5,2.4,0.8,32.680126,38.316767999999996,26.000501,32.326421
Abruzzo,2019,10.2,0.3,1.2,5.2,0.5,18.1,225.1,87.6,2.6,0.2,6.7,0.2,95.6,30.2,7.0,360.0,0.7,16.0,3.5,0.0,1.5,0.0,3.2,0.0,0.8,0.5,1.8,0.0,0.0,0.0,116.1,1.0,14.1,14.4,0.0,720.0,60.1,0.5,19.0,20.6,0.5,6.6,3.4,90.1,0.0,7.6,297.8,0.0,100.1,0.4,2.1,1132.8,3638.4,62.7,2.8,0.9,33.694878,34.98735,27.590429999999998,35.703947
Abruzzo,2020,11.4,0.5,1.1,5.5,0.2,18.6,141.4,64.9,1.4,0.2,3.6,0.3,87.9,36.0,7.2,314.1,0.3,14.3,4.7,0.0,1.0,0.0,1.9,0.0,0.6,0.2,1.0,0.2,0.0,0.0,117.2,1.0,7.6,10.8,0.0,765.2,30.9,0.2,16.7,16.8,0.4,6.0,4.3,58.9,0.0,7.6,395.6,0.0,68.4,0.5,0.5,781.3,3371.4,51.2,4.2,1.2,29.198303000000003,35.245624,27.27322,26.777367
Abruzzo,2021,12.5,0.1,0.9,6.0,0.2,16.8,183.7,59.3,1.3,0.3,4.2,0.6,97.1,39.6,8.5,350.1,0.2,13.5,5.9,0.0,1.6,0.0,2.8,0.0,0.2,0.3,0.9,0.1,0.2,0.0,114.3,1.9,7.4,8.3,0.0,775.8,34.4,0.2,14.3,18.3,0.8,6.6,2.7,55.8,0.0,8.7,425.3,0.0,65.1,0.4,1.0,807.5,3457.9,48.9,3.9,0.5,28.190858000000002,29.031810999999998,24.533459,29.533889
Basilicata,2018,25.5,0.4,1.4,6.5,0.5,20.2,139.8,58.6,0.0,0.4,5.0,1.9,103.7,11.3,11.0,276.5,0.7,14.3,10.3,0.2,1.8,0.0,2.8,0.0,0.7,1.1,1.1,0.0,0.0,0.0,148.5,3.7,5.1,5.0,0.0,685.3,28.0,0.5,20.0,12.7,0.7,3.7,3.7,36.6,0.0,2.5,261.9,0.0,53.8,0.5,1.2,681.1,3168.2,44.1,3.9,0.2,37.607594999999996,38.049563,32.146766,39.258222
Basilicata,2019,65.4,0.0,2.0,3.2,1.1,17.5,105.2,55.5,0.2,0.0,4.5,0.2,102.0,15.0,13.0,281.1,0.2,12.3,34.1,0.0,1.4,0.2,2.7,0.0,0.2,0.2,1.3,0.5,0.2,0.0,143.6,2.7,3.9,3.0,0.0,707.4,27.0,0.2,15.9,9.8,0.5,6.1,1.6,33.8,0.0,1.8,302.6,0.0,42.5,0.2,5.2,579.6,3113.0,48.9,2.7,0.0,32.786611,33.43032,33.388073000000006,32.170182
Basilicata,2020,52.3,0.0,2.4,1.3,0.2,20.9,93.6,31.2,0.7,0.0,2.4,1.1,93.7,23.4,11.6,261.6,0.2,13.6,31.2,0.0,1.1,0.0,0.7,0.0,0.0,0.5,1.8,0.4,0.4,0.0,168.8,3.6,1.6,2.2,0.0,788.9,11.3,0.0,12.4,8.0,0.4,6.5,0.9,20.0,0.0,4.0,336.8,0.0,21.4,0.4,2.4,418.2,3093.3,46.3,2.7,0.5,26.787367,29.262535,24.514694,26.258094999999997
Basilicata,2021,62.7,0.0,1.8,1.8,0.0,21.0,96.8,26.0,0.0,0.7,3.1,1.1,92.2,26.5,16.2,278.7,0.2,14.9,41.1,0.0,3.1,0.0,2.6,0.0,0.0,0.2,2.0,0.6,0.2,0.0,141.4,1.7,2.8,1.8,0.0,850.4,14.0,0.0,9.6,7.9,0.0,6.1,1.3,19.9,0.0,2.2,393.5,0.0,15.3,0.2,1.5,401.6,3213.8,37.6,6.5,0.6,24.98739,30.097250000000003,19.360231,24.146659
Calabria,2018,21.9,1.1,3.1,8.8,0.0,26.5,139.6,166.0,0.5,0.2,6.8,1.3,94.4,12.7,43.1,343.3,1.0,19.3,12.0,0.0,1.8,0.2,2.3,0.0,1.8,1.7,1.6,0.8,0.1,0.2,176.0,3.2,8.1,13.0,0.0,715.8,31.0,0.9,28.6,18.7,0.8,5.2,2.4,62.3,0.0,9.1,304.5,0.0,112.7,0.4,1.5,1056.8,3741.8,52.5,3.9,0.3,64.93215699999999,77.148469,52.081308,60.114312
Calabria,2019,38.8,1.4,2.3,5.4,0.2,26.2,128.4,120.8,0.4,0.2,7.6,1.3,92.7,18.3,41.3,336.4,0.7,18.4,27.9,0.0,1.3,0.2,2.7,0.0,4.1,1.5,2.1,1.3,0.2,0.0,185.6,2.2,8.5,15.1,0.0,739.9,27.1,0.5,25.6,14.0,1.5,6.5,1.5,50.0,0.0,6.2,332.4,0.0,82.6,0.4,1.1,871.9,3614.3999999999996,54.8,3.5,0.6,63.29693,76.901208,40.510052,62.515876
Calabria,2020,39.6,1.2,2.3,3.1,0.1,23.6,91.9,102.1,1.0,0.2,2.5,2.0,83.7,20.8,35.4,306.2,0.5,17.8,30.0,0.1,1.3,0.1,2.2,0.0,1.2,0.7,1.0,1.0,0.1,0.0,169.2,3.0,6.2,11.6,0.0,805.9,13.3,0.1,20.3,12.0,0.8,6.7,1.3,32.0,0.0,5.8,365.4,0.0,53.3,0.5,1.4,635.9,3436.7,59.5,3.5,0.5,60.597077999999996,77.220414,39.701653,57.05703
